2019-07-3 1,19.25,38.00,23.93, True
2019-07-3 2,18.34,42.00,20.39, True
2019-07-3 3,16.70,48.00,14.80, True
2019-07-3 4,14.85,57.00,8.91, True
2019-07-3 5,14.43,61.00,7.99, True
2019-07-3 6,12.60,68.00,7.90, True
2019-07-3 7,11.58,72.00,8.12, True
2019-07-3 8,10.68,76.00,7.99, True
2019-07-3 9,9.83,79.00,8.05, True
2019-07-3 10,9.07,81.00,8.21, True
2019-07-3 11,8.34,83.00,8.09, True
2019-07-3 12,8.40,86.00,6.49, True
2019-07-3 13,11.48,75.00,6.12, True
2019-07-3 14,14.42,65.00,3.32, True
2019-07-3 15,15.06,61.00,1.48, True
2019-07-3 16,16.44,57.00,1.02, True
2019-07-3 17,16.68,55.00,3.60, True
2019-07-3 18,16.91,53.00,6.70, True
2019-07-3 19,17.31,51.00,10.46, True
2019-07-3 20,17.62,49.00,12.22, True
2019-07-3 21,17.98,48.00,13.34, True
2019-07-3 22,17.96,48.00,14.71, True
2019-07-3 23,17.68,49.00,15.63, True
2019-07-4 0,17.30,50.00,14.90, True
2019-07-4 1,17.00,51.00,12.90, True
2019-07-4 2,16.87,52.00,11.27, True
2019-07-4 3,16.04,55.00,9.03, True
2019-07-4 4,14.05,61.00,7.63, True
2019-07-4 5,13.15,65.00,6.76, True
2019-07-4 6,13.73,63.00,6.49, True
2019-07-4 7,12.80,68.00,6.11, True
2019-07-4 8,12.24,73.00,6.13, True
2019-07-4 9,11.56,82.00,6.41, True
2019-07-4 10,11.05,88.00,5.90, True
2019-07-4 11,10.73,93.00,5.12, True
2019-07-4 12,10.85,94.00,4.58, True
2019-07-4 13,11.53,89.00,7.29, True
2019-07-4 14,12.22,83.00,8.65, True
2019-07-4 15,13.57,75.00,7.99, True
2019-07-4 16,15.72,63.00,6.44, True
2019-07-4 17,17.19,55.00,4.38, True
2019-07-4 18,18.38,50.00,3.26, True
2019-07-4 19,18.39,48.00,3.98, True
2019-07-4 20,18.06,50.00,4.45, True
2019-07-4 21,17.83,53.00,6.03, True
2019-07-4 22,17.48,56.00,7.34, True
2019-07-4 23,17.21,58.00,9.01, True
2019-07-5 0,17.08,59.00,10.50, True
2019-07-5 1,16.86,59.00,5.80, True
2019-07-5 2,16.70,60.00,7.07, True
2019-07-5 3,16.24,62.00,5.80, True
2019-07-5 4,15.85,64.00,4.45, True
2019-07-5 5,15.58,65.00,4.35, True
2019-07-5 6,15.38,65.00,4.58, True
2019-07-5 7,15.09,66.00,3.60, True
2019-07-5 8,14.51,69.00,4.68, False
2019-07-5 9,14.02,71.00,5.82, False
2019-07-5 10,13.43,74.00,6.61, False
2019-07-5 11,12.81,77.00,6.92, False
2019-07-5 12,13.00,77.00,7.42, False
2019-07-5 13,14.50,70.00,8.31, False
2019-07-5 14,15.67,64.00,10.08, False
2019-07-5 15,16.19,62.00,11.09, False
2019-07-5 16,16.16,64.00,12.52, False
2019-07-5 17,16.05,67.00,11.97, False
2019-07-5 18,16.49,68.00,11.97, False
2019-07-5 19,17.89,63.00,13.14, False
2019-07-5 20,18.82,58.00,14.76, False
2019-07-5 21,18.90,58.00,15.98, False
2019-07-5 22,18.59,59.00,16.12, False
2019-07-5 23,18.42,60.00,15.68, False
